lon,lat,treatment_intensity,year,area_m2
34.2875,-0.0025,7-9,2023,2160.0
34.2925,-0.0025,0-3,2016,2208.0
34.2925,-0.0025,0-3,2019,2832.0
34.2925,-0.0025,0-3,2023,3168.0
34.2975,-0.0025,0-3,2016,1504.0
34.2975,-0.0025,0-3,2019,2096.0
34.2975,-0.0025,0-3,2023,2592.0
34.3025,-0.0025,0-3,2016,1216.0
34.3025,-0.0025,0-3,2019,1664.0
34.3025,-0.0025,0-3,2023,2320.0
34.3275,-0.0025,0-3,2016,2672.0
34.3275,-0.0025,0-3,2019,3408.0
34.3275,-0.0025,0-3,2023,4464.0
34.3325,-0.0025,0-3,2016,1488.0
34.3325,-0.0025,0-3,2019,1728.0
34.3325,-0.0025,0-3,2023,2240.0
34.3475,-0.0025,13-,2016,2992.0
34.3475,-0.0025,13-,2019,3920.0
34.3475,-0.0025,13-,2023,5040.0
34.3525,-0.0025,7-9,2016,1520.0
34.3525,-0.0025,7-9,2019,1888.0
34.3525,-0.0025,7-9,2023,2096.0
34.3575,-0.0025,13-,2016,944.0
34.3575,-0.0025,13-,2019,1264.0
34.3575,-0.0025,13-,2023,1536.0
34.3625,-0.0025,7-9,2016,1760.0
34.3625,-0.0025,7-9,2019,1776.0
34.3625,-0.0025,7-9,2023,2384.0
34.3675,-0.0025,13-,2016,1984.0
34.3675,-0.0025,13-,2019,2176.0
34.3675,-0.0025,13-,2023,2512.0
34.3725,-0.0025,7-9,2016,560.0
34.3725,-0.0025,7-9,2019,672.0
34.3725,-0.0025,7-9,2023,720.0
34.1925,0.0025,0-3,2016,768.0
34.1925,0.0025,0-3,2019,1280.0
34.1925,0.0025,0-3,2023,1504.0
34.2025,0.0025,0-3,2016,640.0
34.2025,0.0025,0-3,2019,896.0
34.2025,0.0025,0-3,2023,848.0
34.2075,0.0025,0-3,2016,208.0
34.2075,0.0025,0-3,2019,176.0
34.2075,0.0025,0-3,2023,192.0
34.2825,0.0025,0-3,2016,224.0
34.2825,0.0025,0-3,2019,368.0
34.2825,0.0025,0-3,2023,368.0
34.2875,0.0025,10-12,2016,976.0
34.2875,0.0025,10-12,2019,1344.0
34.2875,0.0025,10-12,2023,2016.0
34.2925,0.0025,0-3,2016,960.0
34.2925,0.0025,0-3,2019,1472.0
34.2925,0.0025,0-3,2023,2096.0
34.2975,0.0025,0-3,2016,1936.0
34.2975,0.0025,0-3,2019,2336.0
34.2975,0.0025,0-3,2023,2688.0
34.3225,0.0025,0-3,2016,1264.0
34.3225,0.0025,0-3,2019,1680.0
34.3225,0.0025,0-3,2023,2176.0
34.3275,0.0025,0-3,2016,1936.0
34.3275,0.0025,0-3,2019,2896.0
34.3275,0.0025,0-3,2023,4320.0
34.3325,0.0025,0-3,2016,1648.0
34.3325,0.0025,0-3,2019,1968.0
34.3325,0.0025,0-3,2023,2784.0
34.3375,0.0025,0-3,2016,1472.0
34.3375,0.0025,0-3,2019,1952.0
34.3375,0.0025,0-3,2023,2672.0
34.3425,0.0025,0-3,2016,704.0
34.3425,0.0025,0-3,2019,1024.0
34.3425,0.0025,0-3,2023,1264.0
34.3475,0.0025,7-9,2016,3568.0
34.3475,0.0025,7-9,2019,4528.0
34.3475,0.0025,7-9,2023,5584.0
34.3525,0.0025,10-12,2016,960.0
34.3525,0.0025,10-12,2019,1248.0
34.3525,0.0025,10-12,2023,2240.0
34.3575,0.0025,0-3,2016,1072.0
34.3575,0.0025,0-3,2019,1360.0
34.3575,0.0025,0-3,2023,1520.0
34.3625,0.0025,4-6,2016,1808.0
34.3625,0.0025,4-6,2019,2368.0
34.3625,0.0025,4-6,2023,3104.0
34.3825,0.0025,0-3,2016,1536.0
34.3825,0.0025,0-3,2019,1792.0
34.3825,0.0025,0-3,2023,2112.0
34.1925,0.0075,0-3,2016,1104.0
34.1925,0.0075,0-3,2019,1328.0
34.1925,0.0075,0-3,2023,1936.0
34.1975,0.0075,0-3,2016,1648.0
34.1975,0.0075,0-3,2019,2624.0
34.1975,0.0075,0-3,2023,4464.0
34.2025,0.0075,0-3,2016,1232.0
34.2025,0.0075,0-3,2019,1712.0
34.2025,0.0075,0-3,2023,1840.0
34.2075,0.0075,0-3,2016,608.0
34.2075,0.0075,0-3,2019,656.0
34.2075,0.0075,0-3,2023,960.0
34.2875,0.0075,4-6,2016,1392.0
34.2875,0.0075,4-6,2019,1712.0
34.2875,0.0075,4-6,2023,1968.0
34.2925,0.0075,4-6,2016,1536.0
34.2925,0.0075,4-6,2019,2000.0
34.2925,0.0075,4-6,2023,1952.0
34.2975,0.0075,0-3,2016,1360.0
34.2975,0.0075,0-3,2019,1808.0
34.2975,0.0075,0-3,2023,2224.0
34.3275,0.0075,0-3,2016,2896.0
34.3275,0.0075,0-3,2019,3728.0
34.3275,0.0075,0-3,2023,4880.0
34.3325,0.0075,0-3,2016,3968.0
34.3325,0.0075,0-3,2019,4976.0
34.3325,0.0075,0-3,2023,5488.0
34.3375,0.0075,0-3,2016,1456.0
34.3375,0.0075,0-3,2019,2128.0
34.3375,0.0075,0-3,2023,2976.0
34.3425,0.0075,0-3,2016,1840.0
34.3425,0.0075,0-3,2019,2304.0
34.3425,0.0075,0-3,2023,2752.0
34.3475,0.0075,0-3,2016,1840.0
34.3475,0.0075,0-3,2019,2576.0
34.3475,0.0075,0-3,2023,3616.0
34.3525,0.0075,0-3,2016,1408.0
34.3525,0.0075,0-3,2019,1568.0
34.3525,0.0075,0-3,2023,2128.0
34.1725,0.0125,7-9,2016,928.0
34.1725,0.0125,7-9,2019,1040.0
34.1725,0.0125,7-9,2023,992.0
34.2025,0.0125,0-3,2016,640.0
34.2025,0.0125,0-3,2019,832.0
34.2025,0.0125,0-3,2023,1248.0
34.2075,0.0125,0-3,2016,960.0
34.2075,0.0125,0-3,2019,1216.0
34.2075,0.0125,0-3,2023,1808.0
34.2925,0.0125,0-3,2016,6240.0
34.2925,0.0125,0-3,2019,6992.0
34.2925,0.0125,0-3,2023,8496.0
34.3175,0.0125,7-9,2016,2992.0
34.3175,0.0125,7-9,2019,3488.0
34.3175,0.0125,7-9,2023,4736.0
34.3225,0.0125,7-9,2016,3072.0
34.3225,0.0125,7-9,2019,4656.0
34.3225,0.0125,7-9,2023,5088.0
34.3275,0.0125,0-3,2016,5712.0
34.3275,0.0125,0-3,2019,7440.0
34.3275,0.0125,0-3,2023,9120.0
34.3325,0.0125,13-,2016,2672.0
34.3325,0.0125,13-,2019,3520.0
34.3325,0.0125,13-,2023,3952.0
34.3375,0.0125,13-,2016,1728.0
34.3375,0.0125,13-,2019,2064.0
34.3375,0.0125,13-,2023,2768.0
34.3425,0.0125,10-12,2016,1712.0
34.3425,0.0125,10-12,2019,1952.0
34.3425,0.0125,10-12,2023,2432.0
34.3475,0.0125,0-3,2016,3568.0
34.3475,0.0125,0-3,2019,4032.0
34.3475,0.0125,0-3,2023,5136.0
34.3525,0.0125,0-3,2016,752.0
34.3525,0.0125,0-3,2019,976.0
34.3525,0.0125,0-3,2023,1056.0
34.1675,0.0175,4-6,2016,1152.0
34.1675,0.0175,4-6,2019,1472.0
34.1675,0.0175,4-6,2023,1888.0
34.1725,0.0175,13-,2016,2624.0
